title,comment_num,director,quote,rating_num
罗马假日,8.9,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,爱情哪怕只有一天。,429158人评价
飞屋环游记,8.9,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,最后那些最无聊的事情，才是最值得怀念的。 ,558678人评价
窃听风暴,9.1,导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...,别样人生。,251698人评价
控方证人,9.6,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...,比利·怀德满分作品。,113797人评价
两杆大烟枪,9.1,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,298448人评价
飞越疯人院,9,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,自由万岁。,303199人评价
闻香识女人,8.9,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,史上最美的探戈。,361713人评价
哈尔的移动城堡,8.9,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,带着心爱的人在天空飞翔。,397173人评价
海豚湾,9.3,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...,海豚的微笑，是世界上最高明的伪装。,197204人评价
辩护人,9.1,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,电影的现实意义大过电影本身。,240045人评价
V字仇杀队,8.8,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,一张面具背后的理想与革命。,468324人评价
死亡诗社,9,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,311489人评价
教父2,9.1,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,优雅的孤独。,209236人评价
美丽心灵,8.9,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...,爱是一切逻辑和原由。,336199人评价
指环王2：双塔奇兵,9,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。,298241人评价
指环王1：魔戒再现,8.9,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,传说的开始。,333821人评价
摔跤吧！爸爸,9.1,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,524443人评价
情书,8.8,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,暗恋的极致。,414603人评价
饮食男女,9.1,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,人生不能像做菜，把所有的料都准备好了才下锅。,225874人评价
美国往事,9.1,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,往事如烟，无处祭奠。,193036人评价
